LAST SEEN   TYPE      REASON                         OBJECT                                                                   MESSAGE
112m        Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-gsvmg                   Successfully pulled image "ghcr.io/llm-d/llm-d-router-disagg-sidecar:v0.9.0" in 495ms (495ms including waiting). Image size: 44914390 bytes.
112m        Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-gsvmg                   Started container routing-proxy
112m        Normal    Pulling                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-gsvmg                   Pulling image "ghcr.io/llm-d/llm-d-benchmark:v0.7.0"
112m        Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-gsvmg                   Started container preprocess
112m        Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-gsvmg                   Created container: preprocess
112m        Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-gsvmg                   Successfully pulled image "ghcr.io/llm-d/llm-d-benchmark:v0.7.0" in 416ms (416ms including waiting). Image size: 7504590361 bytes.
112m        Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-gsvmg                   Container image "docker.io/vllm/vllm-openai:v0.23.0" already present on machine
112m        Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-gsvmg                   Created container: vllm
112m        Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-gsvmg                   Started container vllm
111m        Warning   MetricsUnavailable             scaledobject/qwen-qwe-3db867ce-en3-0-6b-decode-wva                       No saturation metrics available for model
111m        Warning   Unhealthy                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-gsvmg                   Startup probe failed: HTTP probe failed with statuscode: 503
111m        Warning   AcceleratorNotResolved         scaledobject/qwen-qwe-3db867ce-en3-0-6b-decode-wva                       The workload constrains no accelerator (no GPU product key in its nodeSelector or nodeAffinity), so WVA cannot tell which accelerator it runs on. It is treated as placeable on any of them: on a single-accelerator cluster the type is deduced, but elsewhere its GPUs are charged to no accelerator pool (see wva_unattributed_gpus) and accelerator-specific saturation/capacity metrics are withheld. Replica scaling metrics are still emitted with accelerator_type="unresolved" so HPA/KEDA can scale. Set a GPU product nodeSelector or nodeAffinity on the workload to resolve it.
94m         Normal    ScalingReplicaSet              deployment/wva-controller-manager                                        Scaled up replica set wva-controller-manager-67bb959dc from 0 to 1
94m         Normal    Scheduled                      pod/wva-controller-manager-67bb959dc-xznql                               Successfully assigned biran/wva-controller-manager-67bb959dc-xznql to pokprod-b93r44s0
94m         Normal    SuccessfulCreate               replicaset/wva-controller-manager-67bb959dc                              Created pod: wva-controller-manager-67bb959dc-xznql
94m         Normal    Pulling                        pod/wva-controller-manager-67bb959dc-xznql                               Pulling image "ghcr.io/biranofer/llm-scaler:clamp-plus-floor"
94m         Normal    AddedInterface                 pod/wva-controller-manager-67bb959dc-xznql                               Add eth0 [10.130.3.99/23] from ovn-kubernetes
94m         Normal    Created                        pod/wva-controller-manager-67bb959dc-xznql                               Created container: manager
94m         Normal    Pulled                         pod/wva-controller-manager-67bb959dc-xznql                               Successfully pulled image "ghcr.io/biranofer/llm-scaler:clamp-plus-floor" in 4.544s (4.544s including waiting). Image size: 86246094 bytes.
94m         Normal    Started                        pod/wva-controller-manager-67bb959dc-xznql                               Started container manager
94m         Normal    Killing                        pod/wva-controller-manager-54c765d799-hwgld                              Stopping container manager
94m         Normal    SuccessfulDelete               replicaset/wva-controller-manager-54c765d799                             Deleted pod: wva-controller-manager-54c765d799-hwgld
94m         Normal    ScalingReplicaSet              deployment/wva-controller-manager                                        Scaled down replica set wva-controller-manager-54c765d799 from 1 to 0
94m         Warning   Unhealthy                      pod/wva-controller-manager-54c765d799-hwgld                              Readiness probe failed: Get "http://10.130.2.156:8081/readyz": dial tcp 10.130.2.156:8081: connect: connection refused
93m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/keda-hpa-qwen-qwe-3db867ce-en3-0-6b-decode-wva   failed to get cpu utilization: missing request for cpu in container routing-proxy of Pod qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-9tcwh
93m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/keda-hpa-qwen-qwe-3db867ce-en3-0-6b-decode-wva   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: missing request for cpu in container routing-proxy of Pod qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-9tcwh
93m         Normal    LeaderElection                 lease/72dd1cf1.llm-d.ai                                                  wva-controller-manager-67bb959dc-xznql_15904c10-f08b-4bf0-a408-4be3e1f8587b became leader
92m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/keda-hpa-qwen-qwe-3db867ce-en3-0-6b-decode-wva   failed to get cpu utilization: missing request for cpu in container routing-proxy of Pod qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-gsvmg
92m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/keda-hpa-qwen-qwe-3db867ce-en3-0-6b-decode-wva   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: missing request for cpu in container routing-proxy of Pod qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-gsvmg
92m         Warning   KEDAScalerFailed               scaledobject/qwen-qwe-3db867ce-en3-0-6b-decode-wva                       got empty metric spec
92m         Normal    KEDAScalersStarted             scaledobject/qwen-qwe-3db867ce-en3-0-6b-decode-wva                       Scaler external-push is built
91m         Normal    Scheduled                      pod/wait-serving-1547558-1                                               Successfully assigned biran/wait-serving-1547558-1 to pokprod-b93r44s0
91m         Normal    Started                        pod/wait-serving-1547558-1                                               Started container wait-serving-1547558-1
91m         Normal    Created                        pod/wait-serving-1547558-1                                               Created container: wait-serving-1547558-1
91m         Normal    AddedInterface                 pod/wait-serving-1547558-1                                               Add eth0 [10.130.3.111/23] from ovn-kubernetes
91m         Normal    Pulled                         pod/wait-serving-1547558-1                                               Container image "registry.k8s.io/e2e-test-images/agnhost:2.47" already present on machine
90m         Normal    AddedInterface                 pod/smoketest-ssjwhmvy                                                   Add eth0 [10.128.7.112/23] from ovn-kubernetes
90m         Normal    Pulling                        pod/smoketest-ssjwhmvy                                                   Pulling image "quay.io/fedora/fedora"
90m         Normal    Scheduled                      pod/smoketest-ssjwhmvy                                                   Successfully assigned biran/smoketest-ssjwhmvy to pokprod-b93r38s1
90m         Normal    Pulled                         pod/smoketest-ssjwhmvy                                                   Successfully pulled image "quay.io/fedora/fedora" in 2.246s (2.246s including waiting). Image size: 189812528 bytes.
90m         Normal    Created                        pod/smoketest-ssjwhmvy                                                   Created container: smoketest-ssjwhmvy
90m         Normal    Started                        pod/smoketest-ssjwhmvy                                                   Started container smoketest-ssjwhmvy
90m         Normal    Scheduled                      pod/inference-perf-8ff3v5yc                                              Successfully assigned biran/inference-perf-8ff3v5yc to pokprod-b93r44s0
90m         Normal    SuccessfulAttachVolume         pod/inference-perf-8ff3v5yc                                              AttachVolume.Attach succeeded for volume "pvc-0fd30d43-9b3c-4765-ac56-61f401dce16c"
90m         Normal    Pulled                         pod/inference-perf-8ff3v5yc                                              Successfully pulled image "ghcr.io/llm-d/llm-d-benchmark:v0.7.8" in 436ms (436ms including waiting). Image size: 7535293992 bytes.
90m         Normal    Started                        pod/inference-perf-8ff3v5yc                                              Started container harness
90m         Normal    Created                        pod/inference-perf-8ff3v5yc                                              Created container: harness
90m         Normal    Pulling                        pod/inference-perf-8ff3v5yc                                              Pulling image "ghcr.io/llm-d/llm-d-benchmark:v0.7.8"
90m         Normal    AddedInterface                 pod/inference-perf-8ff3v5yc                                              Add eth0 [10.130.3.114/23] from ovn-kubernetes
89m         Normal    SuccessfulCreate               replicaset/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd                  Created pod: qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-v7djg
89m         Normal    Scheduled                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-v7djg                   Successfully assigned biran/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-v7djg to pokprod-b93r44s1
89m         Normal    SuccessfulRescale              horizontalpodautoscaler/keda-hpa-qwen-qwe-3db867ce-en3-0-6b-decode-wva   New size: 2; reason: external metric s0-wva-desired-replicas(&LabelSelector{MatchLabels:map[string]string{scaledobject.keda.sh/name: qwen-qwe-3db867ce-en3-0-6b-decode-wva,},MatchExpressions:[]LabelSelectorRequirement{},}) above target
89m         Normal    ScalingReplicaSet              deployment/qwen-qwe-3db867ce-en3-0-6b-decode                             Scaled up replica set qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd from 1 to 2
89m         Normal    SuccessfulAttachVolume         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-v7djg                   AttachVolume.Attach succeeded for volume "pvc-0a24bb19-ccbd-4606-a33f-7635cc09b3fc"
89m         Normal    Pulling                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-v7djg                   Pulling image "ghcr.io/llm-d/llm-d-router-disagg-sidecar:v0.9.0"
89m         Normal    AddedInterface                 pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-v7djg                   Add eth0 [10.131.2.249/23] from ovn-kubernetes
89m         Normal    Pulling                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-v7djg                   Pulling image "ghcr.io/llm-d/llm-d-benchmark:v0.7.0"
89m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-v7djg                   Successfully pulled image "ghcr.io/llm-d/llm-d-benchmark:v0.7.0" in 318ms (318ms including waiting). Image size: 7504590361 bytes.
89m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-v7djg                   Started container routing-proxy
89m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-v7djg                   Created container: routing-proxy
89m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-v7djg                   Successfully pulled image "ghcr.io/llm-d/llm-d-router-disagg-sidecar:v0.9.0" in 354ms (354ms including waiting). Image size: 44914390 bytes.
89m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-v7djg                   Created container: preprocess
89m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-v7djg                   Started container preprocess
89m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-v7djg                   Started container vllm
89m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-v7djg                   Created container: vllm
89m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-v7djg                   Container image "docker.io/vllm/vllm-openai:v0.23.0" already present on machine
88m         Warning   Unhealthy                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-v7djg                   Startup probe failed: HTTP probe failed with statuscode: 503
88m         Normal    ScaledUp                       scaledobject/qwen-qwe-3db867ce-en3-0-6b-decode-wva                       V2 (optimizer: cost-aware)
88m         Normal    SuccessfulCreate               replicaset/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd                  Created pod: qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-7nh5k
88m         Normal    Scheduled                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-7nh5k                   Successfully assigned biran/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-7nh5k to pokprod-b93r38s2
88m         Normal    SuccessfulAttachVolume         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-7nh5k                   AttachVolume.Attach succeeded for volume "pvc-0a24bb19-ccbd-4606-a33f-7635cc09b3fc"
88m         Normal    Pulling                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-7nh5k                   Pulling image "ghcr.io/llm-d/llm-d-router-disagg-sidecar:v0.9.0"
88m         Normal    AddedInterface                 pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-7nh5k                   Add eth0 [10.128.9.170/23] from ovn-kubernetes
88m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-7nh5k                   Successfully pulled image "ghcr.io/llm-d/llm-d-router-disagg-sidecar:v0.9.0" in 9.39s (9.39s including waiting). Image size: 44914390 bytes.
88m         Normal    Pulling                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-7nh5k                   Pulling image "ghcr.io/llm-d/llm-d-benchmark:v0.7.0"
88m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-7nh5k                   Created container: routing-proxy
88m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-7nh5k                   Started container routing-proxy
87m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-7nh5k                   Successfully pulled image "ghcr.io/llm-d/llm-d-benchmark:v0.7.0" in 9.861s (9.861s including waiting). Image size: 7504590361 bytes.
87m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-7nh5k                   Started container preprocess
87m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-7nh5k                   Created container: preprocess
87m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-7nh5k                   Container image "docker.io/vllm/vllm-openai:v0.23.0" already present on machine
87m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-7nh5k                   Created container: vllm
87m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-7nh5k                   Started container vllm
87m         Warning   Unhealthy                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-7nh5k                   Startup probe failed: HTTP probe failed with statuscode: 503
81m         Normal    Killing                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-7nh5k                   Stopping container vllm
81m         Normal    SuccessfulDelete               replicaset/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd                  Deleted pod: qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-7nh5k
81m         Normal    Killing                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-7nh5k                   Stopping container routing-proxy
81m         Warning   Unhealthy                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-7nh5k                   Readiness probe failed: HTTP probe failed with statuscode: 503
77m         Normal    ScalingReplicaSet              deployment/qwen-qwe-3db867ce-en3-0-6b-decode                             Scaled up replica set qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd from 2 to 3
77m         Normal    SuccessfulRescale              horizontalpodautoscaler/keda-hpa-qwen-qwe-3db867ce-en3-0-6b-decode-wva   New size: 3; reason: external metric s0-wva-desired-replicas(&LabelSelector{MatchLabels:map[string]string{scaledobject.keda.sh/name: qwen-qwe-3db867ce-en3-0-6b-decode-wva,},MatchExpressions:[]LabelSelectorRequirement{},}) above target
77m         Normal    SuccessfulCreate               replicaset/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd                  Created pod: qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-nfxs4
77m         Normal    SuccessfulAttachVolume         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-nfxs4                   AttachVolume.Attach succeeded for volume "pvc-0a24bb19-ccbd-4606-a33f-7635cc09b3fc"
77m         Normal    Scheduled                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-nfxs4                   Successfully assigned biran/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-nfxs4 to pokprod-b93r44s0
76m         Normal    AddedInterface                 pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-nfxs4                   Add eth0 [10.130.3.115/23] from ovn-kubernetes
76m         Normal    Pulling                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-nfxs4                   Pulling image "ghcr.io/llm-d/llm-d-router-disagg-sidecar:v0.9.0"
76m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-nfxs4                   Successfully pulled image "ghcr.io/llm-d/llm-d-router-disagg-sidecar:v0.9.0" in 394ms (394ms including waiting). Image size: 44914390 bytes.
76m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-nfxs4                   Started container routing-proxy
76m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-nfxs4                   Created container: routing-proxy
76m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-nfxs4                   Successfully pulled image "ghcr.io/llm-d/llm-d-benchmark:v0.7.0" in 664ms (664ms including waiting). Image size: 7504590361 bytes.
76m         Normal    Pulling                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-nfxs4                   Pulling image "ghcr.io/llm-d/llm-d-benchmark:v0.7.0"
76m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-nfxs4                   Created container: preprocess
76m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-nfxs4                   Started container preprocess
76m         Normal    ScalingReplicaSet              deployment/qwen-qwe-3db867ce-en3-0-6b-decode                             Scaled up replica set qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd from 3 to 4
76m         Normal    SuccessfulCreate               replicaset/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd                  Created pod: qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-jj8gm
76m         Normal    SuccessfulAttachVolume         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-jj8gm                   AttachVolume.Attach succeeded for volume "pvc-0a24bb19-ccbd-4606-a33f-7635cc09b3fc"
76m         Normal    Scheduled                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-jj8gm                   Successfully assigned biran/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-jj8gm to pokprod-b93r38s0
76m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-nfxs4                   Created container: vllm
76m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-nfxs4                   Started container vllm
76m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-nfxs4                   Container image "docker.io/vllm/vllm-openai:v0.23.0" already present on machine
76m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-jj8gm                   Started container routing-proxy
76m         Normal    AddedInterface                 pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-jj8gm                   Add eth0 [10.128.10.247/23] from ovn-kubernetes
76m         Normal    Pulling                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-jj8gm                   Pulling image "ghcr.io/llm-d/llm-d-router-disagg-sidecar:v0.9.0"
76m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-jj8gm                   Successfully pulled image "ghcr.io/llm-d/llm-d-router-disagg-sidecar:v0.9.0" in 363ms (363ms including waiting). Image size: 44914390 bytes.
76m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-jj8gm                   Created container: routing-proxy
76m         Normal    Pulling                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-jj8gm                   Pulling image "ghcr.io/llm-d/llm-d-benchmark:v0.7.0"
76m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-jj8gm                   Successfully pulled image "ghcr.io/llm-d/llm-d-benchmark:v0.7.0" in 337ms (337ms including waiting). Image size: 7504590361 bytes.
76m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-jj8gm                   Created container: preprocess
76m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-jj8gm                   Started container preprocess
76m         Normal    ScalingReplicaSet              deployment/qwen-qwe-3db867ce-en3-0-6b-decode                             Scaled up replica set qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd from 4 to 8
76m         Normal    SuccessfulRescale              horizontalpodautoscaler/keda-hpa-qwen-qwe-3db867ce-en3-0-6b-decode-wva   New size: 8; reason: external metric s0-wva-desired-replicas(&LabelSelector{MatchLabels:map[string]string{scaledobject.keda.sh/name: qwen-qwe-3db867ce-en3-0-6b-decode-wva,},MatchExpressions:[]LabelSelectorRequirement{},}) above target
76m         Normal    Scheduled                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cmtdc                   Successfully assigned biran/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cmtdc to pokprod-b93r38s2
76m         Normal    SuccessfulCreate               replicaset/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd                  Created pod: qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-scx6r
76m         Normal    Scheduled                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cmtq6                   Successfully assigned biran/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cmtq6 to pokprod-b93r44s1
76m         Normal    SuccessfulCreate               replicaset/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd                  Created pod: qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-mcd4c
76m         Normal    AddedInterface                 pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cmtq6                   Add eth0 [10.131.2.253/23] from ovn-kubernetes
76m         Normal    SuccessfulAttachVolume         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cmtdc                   AttachVolume.Attach succeeded for volume "pvc-0a24bb19-ccbd-4606-a33f-7635cc09b3fc"
76m         Normal    SuccessfulCreate               replicaset/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd                  Created pod: qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cmtq6
76m         Normal    Pulling                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cmtq6                   Pulling image "ghcr.io/llm-d/llm-d-router-disagg-sidecar:v0.9.0"
76m         Normal    SuccessfulCreate               replicaset/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd                  Created pod: qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cmtdc
76m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-jj8gm                   Started container vllm
76m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-jj8gm                   Created container: vllm
76m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-jj8gm                   Container image "docker.io/vllm/vllm-openai:v0.23.0" already present on machine
76m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cmtq6                   Successfully pulled image "ghcr.io/llm-d/llm-d-router-disagg-sidecar:v0.9.0" in 675ms (675ms including waiting). Image size: 44914390 bytes.
76m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cmtq6                   Created container: routing-proxy
76m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cmtq6                   Started container routing-proxy
76m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cmtq6                   Started container preprocess
76m         Normal    Pulling                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cmtq6                   Pulling image "ghcr.io/llm-d/llm-d-benchmark:v0.7.0"
76m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cmtq6                   Created container: preprocess
76m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cmtq6                   Successfully pulled image "ghcr.io/llm-d/llm-d-benchmark:v0.7.0" in 345ms (345ms including waiting). Image size: 7504590361 bytes.
76m         Normal    Pulling                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cmtdc                   Pulling image "ghcr.io/llm-d/llm-d-router-disagg-sidecar:v0.9.0"
76m         Normal    AddedInterface                 pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cmtdc                   Add eth0 [10.128.9.174/23] from ovn-kubernetes
76m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cmtdc                   Successfully pulled image "ghcr.io/llm-d/llm-d-router-disagg-sidecar:v0.9.0" in 427ms (427ms including waiting). Image size: 44914390 bytes.
